SOURCE	TARGET
أقرأ ھم	أقرؤهم	REPLACE_X

أنا	أنا	UC
طالبة	طالبة	UC
في	في	UC
الجامعة	الجامعة	UC
أبلغ	أبلغ	UC
من	من	UC
العمر	العمر	UC
ثمانية	ثمانية	UC
وعشرون	وعشرين	REPLACE_XC
سنة	سنة	UC
مشكليى	مشكلتي	REPLACE_OA+REPLACE_OR
أنا	أنا	UC
لا	لا	UC
أنام	أنام	UC
في	في	UC
اليلة	الليل	REPLACE_OD+REPLACE_OM
بسبب	بسبب	UC
انتعيب	أنني بعيدة	REPLACE_X
عن	عن	UC
زوجي	زوجي	UC
عندما	عندما	UC
أذهب	أذهب	UC
إلى	إلى	UC
الصف	الصف	UC
أتعباني	أتعب	REPLACE_XM+REPLACE_XN
كثير أ	كثيرا	UNK
أنت	أنت	UC
تجب	يجب	REPLACE_MI
أن	أن	UC
تتعر	تتعرفي	REPLACE_OM+REPLACE_XG
عن	على	REPLACE_SW
الناس	الناس	UC
قريب	القريبة	REPLACE_SW
منك	منك	UC
ولكن	ولكن	UC
لا	لا	UC
توقف	توقفي	REPLACE_XG
أن	أن	UC
تكتب	تكتبي	REPLACE_XG
لي	لي	UC
صديق	صديق	UC
في	في	UC
سياتل	سياتل	UC

من	من	UC
اللازم	اللازم	UC
أن	أن	UC
تعتبر	تعتبر	UC
الحكومة	الحكومة	UC
الأمريكية	الأمريكية	UC
تزامھا	ملتزمة	REPLACE_SW
في الاستقرار	بالاستقرار	REPLACE_S
العراقي	العراقي	UC
و في ھذا	وبهذه	REPLACE_S
الحرب	الحرب	UC
لن	لن	UC
يساعد	يساعد	UC
الانسحاب	الانسحاب	UC
الأمريكي	الأمريكي	UC
	في	INSERT_XM
أن	أن	UC
يحقق	يحقق	UC
الاستقرار	الاستقرار	UC
أو	أو	UC
السلام	السلام	UC
للشعب	للشعب	UC
العراقي	العراقي	UC
في	في	UC
الحقيقة	الحقيقة	UC
ھذا	هذا	REPLACE_OR
القرار	القرار	UC
سيفعل	سيفعل	UC
كثير	كثيرا	REPLACE_XC
من	من	UC
المشاكل	المشاكل	UC
في	في	UC
المنطقة	المنطقة	UC
يحتاج	يحتاج	UC
الشعب	الشعب	UC
العراقي	العراقي	UC
الدعم	الدعم	UC
العسكري	العسكري	UC
الأمريكي	الأمريكي	UC
لوقف	لوقف	UC
الاشتباكات	الاشتباكات	UC
في	في	UC
العراق	العراق	UC
رغم	رغم	UC
أن	أن	UC
ليس	ليس	UC
ضروري	ضروري	UC
أن	أن	UC
الجيش	الجيش	UC
الأمريكي	الأمريكي	UC
يكون	يكون	UC
في	في	UC
مركز	مركز	UC
الأقتال	القتال	REPLACE_OD
من	فمن	REPLACE_SF
المھم	المهم	REPLACE_OR
أن	أن	UC
الشعب	الشعب	UC
العراقي	العراقي	UC
يعرف	يعرف	UC
أن	أن	UC
عندھم	عندهم	REPLACE_OR
المسندة	المساندة	REPLACE_OH+REPLACE_OM
الأمريكية	الأمريكية	UC
و يحصلون	ويحصلون	MERGE
على	على	UC
النتائح	النتائج	REPLACE_OR
الملموسة	الملموسة	UC
نفسھم	بأنفسهم	REPLACE_MI+REPLACE_OR
مثلا	مثلا	UC
الكتلة	الكتلة	UC
الجديدة	الجديدة	UC
في	في	UC
العراق	العراق	UC
فرصة	فرصة	UC
جيدة	جيدة	UC
للوحدة	للوحدة	UC
العراقية	العراقية	UC
و التقدم	والتقدم	MERGE
في	في	UC
الحكومة	الحكومة	UC
العراقية	العراقية	UC
الجديدة	الجديدة	UC
من	من	UC
الضروري	الضروري	UC
أن	أن	UC
تظھر	تظهر	REPLACE_OR
الأحزاب	الأحزاب	UC
المختلفة	المختلفة	UC
قدرتھم	قدرتها	REPLACE_MI+REPLACE_OR
في	في	UC
القرارات	القرارات	UC
السياسية	السياسية	UC
نظر أ	نظرا	UNK
للتطورات	للتطورات	UC
مثل	مثل	UC
ھذه	هذه	REPLACE_OR
الكتلة	الكتلة	UC
جديدة	الجديدة	REPLACE_XF
يبدوا	تبدو	REPLACE_XN
أن	أن	UC
الناس	الناس	UC
العراقية	العراقية	UC
يفعلو	تفعل	REPLACE_MI+REPLACE_OD
قرارات	قرارات	UC
سياسية	سياسية	UC
وربما	وربما	UC
سيناقشون	ستناقش	REPLACE_XN
كل	كل	UC
الوسائل	الوسائل	UC
المتاحة	المتاحة	UC
أنھم	وأنها	REPLACE_SW
يستطيع	تستطيع	REPLACE_MI
أن	أن	UC
تتحكم	تتحكم	UC
في	في	UC
الظروف	الظروف	UC
الأمنية	الأمنية	UC
و الآزمة	والأزمة	REPLACE_O
السياسية	السياسية	UC
ربما	ربما	UC
في	في	UC
الوقت	الوقت	UC
القليل	القليل	UC
الحكومة	الحكومة	UC
العراقية	العراقية	UC
الجديدة	الجديدة	UC
سترجح	سترجح	UC
كفة	كفة	UC
نحو	نحو	UC
الآمن	الأمن	REPLACE_OH
و الأئتلاق	والائتلاف	REPLACE_O
ثم	ثم	UC
المجتمع	المجتمع	UC
الدولي	الدولي	UC
سيرى	سيرى	UC
أن	أن	UC
الناس	الناس	UC
العراقية	العراقية	UC
تستطيع	تستطيع	UC
أن	أن	UC
تفعلو	تفعل	REPLACE_OD+REPLACE_OG
السلام	السلام	UC
مع	مع	UC
الدعم	الدعم	UC
الدولي	الدولي	UC
و تزامھم	والتزامهم	UNK
و تزام	والتزام	REPLACE_X
البلاد	البلاد	UC
مثل	مثل	UC
الولايات	الولايات	UC
المتاحدة	المتحدة	REPLACE_OD
بضبط	بالضبط	REPLACE_XF

في	في	UC
أمريكا	أمريكا	UC
و المجتمع	والمجتمع	MERGE
الدولي	الدولي	UC
ضغط	ضغط	UC
كثير	كثير	UC
من	من	UC
حيث	حيث	UC
الانسحاب	الانسحاب	UC
الأمريكي	الأمريكي	UC
من	من	UC
العراق	العراق	UC
منذ	منذ	UC
بداية	بداية	UC
الحملة	الحملة	UC
الأمريكية	الأمريكية	UC
في	في	UC
العراق	العراق	UC
العراقيين	العراقيون	REPLACE_XC
كانوا	كانوا	UC
يشھدون	يشهدون	REPLACE_OR
عنفا	عنفا	UC
و موتا	وموتا	MERGE
كثيرة	كثيرا	REPLACE_XG
و الجنود	والجنود	MERGE
الأمريكيون	الأمريكيون	UC
في	في	UC
الإقليم	الإقليم	UC
أيضا	أيضا	UC
كانوا	كانوا	UC
شھدوا	يشهدون	REPLACE_MT+REPLACE_OR
عانية	ويعانون	REPLACE_SW
كثيرة	كثيرا	REPLACE_XG
خلال	خلال	UC
وقتھم	وقتهم	REPLACE_OR
في	في	UC
العراق	العراق	UC
و نجاحا	والنجاح	REPLACE_X
ليس	ليس	UC
كثيرا	كثيرا	UC
بالرغم	بالرغم	UC
من	من	UC
ھذه	هذه	REPLACE_OR
الظروف	الظروف	UC
صعبة	الصعبة	REPLACE_XF
جد أ	جدا	UNK
أعتقد	أعتقد	UC
أن	أن	UC
الانسحاب	الانسحاب	UC
الأمريكي	الأمريكي	UC
من	من	UC
العراق	العراق	UC
الآن	الآن	UC
يسبب	سيسبب	REPLACE_MT
مشاكلا	مشاكل	REPLACE_OD+REPLACE_OG
أكثرا	أكثر	REPLACE_XN
في	في	UC
الدولة	الدولة	UC
نشاط	نشاط	UC
الارھابيين	الإرهابيين	REPLACE_OH
في	في	UC
العراق	العراق	UC
جعل	جعل	UC
العنف	العنف	UC
و الموت	والموت	MERGE
	موجودين	INSERT_XM
بشكل	بشكل	UC
قوي	قوي	UC
ھدف	هدف	REPLACE_OR
ھذه	هؤلاء	REPLACE_SW
الارھابيين	الإرهابيين	REPLACE_OH
ھو	هو	REPLACE_OR
تدمير	تدمير	UC
إمكانية	إمكانية	UC
نظام	نظام	UC
ديموقراطي	ديموقراطي	UC
في	في	UC
العراق	العراق	UC
معظمھم	معظمهم	REPLACE_OR
لھم	لهم	REPLACE_OR
دعم	دعم	UC
من	من	UC
إيران	إيران	UC
و سوريا	وسوريا	MERGE
إذا	إذا	UC
الجيش	الجيش	UC
الأمريكي	الأمريكي	UC
انسحب	انسحب	UC
من	من	UC
الدولة	الدولة	UC
العراقية	العراقية	UC
الآن	الآن	UC
يحدث	ستحدث	REPLACE_MT
حرب	حرب	UC
اھلي	أهلية	REPLACE_SW
بين	بين	UC
كل	كل	UC
الأطراف	الأطراف	UC
في	في	UC
العراق	العراق	UC
و يفشل	وستفشل	UNK
إمكانية	إمكانية	UC
الاستقرار	الاستقرار	UC
و السلام	والسلام	MERGE
و العدل	والعدل	MERGE
يجب	يجب	UC
أن	على	REPLACE_SW
الولايات	الولايات	UC
المتحدة	المتحدة	UC
تستمر	الاستمرار	REPLACE_SW
في	في	UC
حملتھا	حملتها	REPLACE_OR
ضد	ضد	UC
الارھابيين	الإرهابيين	REPLACE_OH
في	في	UC
العراق	العراق	UC
حتى	حتى	UC
تساعد	تساعد	UC
العراقيين	العراقيين	UC
في	في	UC
مؤسس	تأسيس	REPLACE_SW
الاستقرار	الاستقرار	UC
و الحكومة	والحكومة	MERGE
الشرعية	الشرعية	UC
موجودة	موجود	REPLACE_XG
آزمة	أزمة	REPLACE_OH
سديدة	شديدة	REPLACE_OR
في	في	UC
العراق	العراق	UC
الآن	الآن	UC
و العراقيون	والعراقيون	MERGE
يحتاحون	يحتاجون	REPLACE_OR
على	إلى	REPLACE_SW
المساعدة	المساعدة	UC
الأمريكية	الأمريكية	UC
و لذلك	ولذلك	MERGE
يجب	يجب	UC
أن	على	REPLACE_SW
أمريكة	أمريكا	REPLACE_OR
تنفذ	تنفيذ	REPLACE_OM
مھمتھا	مهمتها	REPLACE_OR
لتحقيق	لتحقيق	UC
الإسلام	السلام	REPLACE_OD
و العدل	والعدل	MERGE
في	في	UC
العراق	العراق	UC
قبل	قبل	UC
انسحابھا	انسحابها	REPLACE_OR
من	من	UC
الدولة	الدولة	UC

زوجت	تزوجت	REPLACE_OM
سوزان	سوزان	UC
رجل	رجلا	REPLACE_XC+REPLACE_XN
مسھد	مشهورا	REPLACE_SW
كان	كان	UC
اسمه	اسمه	UC
ھو		DELETE_XM
الدكتور	الدكتور	UC
براون	براون	UC
سكنوا	سكنا	REPLACE_MI
سوزان	سوزان	UC
و الدكتور	والدكتور	MERGE
براون	براون	UC
في	في	UC
الر ياض	الرياض	MERGE
في	في	UC
السعودية	السعودية	UC
الدكيور	الدكتور	REPLACE_OR
براون	براون	UC
مس تشرق	مستشرق	MERGE
ابن أ	أبناء	UNK
سبع ه	سبعة	UNK
لھم أن	لهما	UNK
اسم		DELETE_XM
فريد	فريد	UC
و كريم	وكريم	MERGE
و حسين	وحسين	MERGE
و أ براھيم	وإبراهيم	UNK
و طارق	وطارق	MERGE
و جمال	وجمال	MERGE
و علي	وعلي	MERGE
علي	علي	UC
زوج	تزوج	REPLACE_OM
امرأة	امرأة	UC
البدوي	بدوية	REPLACE_XF+REPLACE_XG
يسكنوا	يسكنان	REPLACE_XN
في	في	UC
الحيام	الخيام	REPLACE_OR
و يرحلون	ويرتحلان	UNK
في	في	UC
الصحراء	الصحراء	UC
من	من	UC
مكان	مكان	UC
إلى	إلى	UC
مكان	مكان	UC
بنات	بنات	UC
سبعة	سبعة	UC
لھم	لهما	REPLACE_SW
إن إس م	وأسمائهن	UNK
مي	مي	UC
و نازك	ونازك	MERGE
و نوال	ونوال	MERGE
و روث	وروث	MERGE
و كريمة	وكريمة	MERGE
و مزيم	ومريم	REPLACE_O
و سوزان	وسوزان	MERGE
ھؤلاء	هؤلاء	REPLACE_OR
أبناء	الأبناء	REPLACE_XF
سبعة	سبعة	UC
و بنات	والبنات	REPLACE_X
سبعة	سبع	REPLACE_XG
لقيوا	تلاقوا	REPLACE_SW
في	في	UC
الصحراء	الصحراء	UC
وأحبوا	وأحبوا	UC
	بعضهم	INSERT_XM
و زوجوا	وتزوجوا	REPLACE_O
نعم	نعم	UC
سوزان	سوزان	UC
زوجت	تزوجت	REPLACE_OM
علي	علي	UC

تشيد	نشيد	REPLACE_OR
بيوتنا	بيوتنا	UC
من	من	UC
أحسن	أحسن	UC
من		DELETE_XM
المادات	المادات	UC
مستخدمين	مستخدمين	UC
سوى		DELETE_XM
مادة	مادة	UC
طبيعة	طبيعية	REPLACE_OM
أو	أو	UC
مستعمليه	مستعملة	REPLACE_OD+REPLACE_OT
من	من	UC
جديد	جديد	UC
ستجدان	ستجدان	UC
حمامات	حمامات	UC
الزخام	الرخام	REPLACE_OR
جميلة	جميلة	UC
وموافد	وموائد	REPLACE_OR
الحجر	الحجر	UC
جميلة	جميلة	UC
تجعل	جعل	REPLACE_OD
مادة	مادة	UC
عازلة	عازلة	UC
واستخدام	واستخدام	UC
طاقة	طاقة	UC
شميسة	شمسية	REPLACE_OC
بيتكما	ببيتكما	REPLACE_XM
فعال	فعال	UC
الطاقة	للطاقة	REPLACE_XM
ومريح	ومريح	UC
الدرجة	لدرجة	REPLACE_OD
الحرارة	الحرارة	UC
بالإضافة	بالإضافة	UC
إلى	إلى	UC
ھذا	هذا	REPLACE_OR
تسقي	تسقى	REPLACE_OA
حديقتلما	حديقتكما	REPLACE_OR
بماء	بماء	UC
رماضي	رمادي	REPLACE_OR
	وهذه	INSERT_XM
ميزة	ميزة	UC
أخرى	أخرى	UC
متوفرة	متوفرة	UC
ثروة	ثروة	UC
مائية	مائية	UC
وفوق	وفوق	UC
ھذا	هذا	REPLACE_OR
تقدم	تقدم	UC
جماعتنا	جماعتنا	UC
أسلوب	أسلوب	UC
معيشة	معيشة	UC
نشيط	نشيط	UC
وناعم	وناعم	UC
البال	البال	UC
ستستمطعان	ستستمتعان	REPLACE_OR
بمركز	بمركز	UC
رياضي	رياضي	UC
مع	مع	UC
حمام	حمام	UC
سباحة	سباحة	UC
تنس	وتنس	REPLACE_MI
وميدان	وميدان	UC
لعبة	لعبة	UC
جولف	جولف	UC
ھل	هل	REPLACE_OR
تعبانان	تعبتما	REPLACE_OD+REPLACE_OR
أنت	أنت	UC
وزوجك	وزوجك	UC
	من	INSERT_XM
التجوب	التجوب	UC
في	في	UC
بيتكما	بيتكما	UC
كبير	الكبير	REPLACE_XF
بما	بما	UC
أنھم	أنكما	REPLACE_MI+REPLACE_OR
ناضجين	ناضجان	REPLACE_XC
ومتنقلين	ومتنقلان	REPLACE_XC
ھل	هل	REPLACE_OR
ترغبان	ترغبان	UC
في	في	UC
أسلوب	أسلوب	UC
معيشة	معيشة	UC
مترف	مترف	UC
وھل	وهل	REPLACE_OR
تؤمنان	تؤمنان	UC
بحماية	بحماية	UC
بيئة	البيئة	REPLACE_XF
إذا	إذا	UC
تجاوبتما	جاوبتما	REPLACE_OD
عن	على	REPLACE_SW
ھذه	هذه	REPLACE_OR
أسئلة	أسئلة	UC
مع	ب	REPLACE_SW
نعم	نعم	UC
فما	فلا	REPLACE_OR
تساءلتما	تتساءلا	REPLACE_MT
أكثر	أكثر	UC
تدعو	تدعوكما	REPLACE_MI
منازل	منازل	UC
الجنة	الجنة	UC
إليكما زيارة	لزيارة	UNK
منزلھا	منزلها	REPLACE_OR
مفتوح	مفتوح	UC
ھذا		DELETE_XM
يوم	يوم	UC
الأحد	الأحد	UC
تتقدمكما	تقدم لكما	UNK
منازل	منازل	UC
الجنة	الجنة	UC
أفضل	أفضل	UC
ميزات	ميزات	UC
لمتعلق	لمتعلق	UC
بحماية	بحماية	UC
الطبيعة	الطبيعة	UC
سواء	سواء	UC
داخل	داخل	UC
أو	أو	UC
خارج	خارج	UC
البيت	البيت	UC
اختارا	اختارا	UC
من	من	UC
النماذج	النماذج	UC
التي	التي	UC
تفضلان عليھا	تفضلانها	REPLACE_S
أحيا	احييا	REPLACE_OH+REPLACE_OM
كل	كل	UC
يوم	يوم	UC
كما	كما	UC
ستكونان	ستكونان	UC
في	في	UC
عطلة	عطلة	UC
تتحولا	حولا	REPLACE_OD
حياتكما	حياتكما	UC
الآن	الآن	UC
الإجابة	الإجابة	UC
بسيط	بسيطة	REPLACE_XG
وقريب أ	وقريبة	UNK
زورا	زورا	UC
منازل	منازل	UC
الجنة	الجنة	UC
وأبدا	وابدآ	REPLACE_OH
معيشة	معيشة	UC
من	من	UC
جديد	جديد	UC
ولا	ولا	UC
أنسي	تنسيي	REPLACE_OM+REPLACE_OR
إتيان	الإتيان	REPLACE_XF
بزوجك	بزوجك	UC

أنا	أنا	UC
أحضر	أحضر	UC
سلسلة	سلسلة	UC
المحاضرات	المحاضرات	UC
ف	في	REPLACE_SW
قسم	قسم	UC
درسات	درسات	UC
الشرق	الشرق	UC
الأوسط	الأوسط	UC
كل	كل	UC
وم	يوم	REPLACE_OM
الجمع	جمعة	REPLACE_SW
على	على	UC
أي	أي	UC
حال	حال	UC
وها	وهو	REPLACE_OR
مف د ل	المفضل	UNK
وأستمتع	وأستمتع	UC
كث را	كثيرا	UNK
ف ه	فيه	REPLACE_S
لكن	لكن	UC
ارتكبت	ارتكبت	UC
خطأ	خطأ	UC
هذا	هذا	UC
الفصل	الفصل	UC
لأنن	لأنني	REPLACE_OM
لم	لم	UC
أحضر	أحضر	UC
كث ر	كثيرا	UNK
من	من	UC
المحاضرات	المحاضرات	UC
خارج	خارج	UC
القسم	القسم	UC
لكنن	لكنني	REPLACE_OM
حضرت	حضرت	UC
محاضرة	محاضرة	UC
واحدة	واحدة	UC
ف	في	REPLACE_SW
قسم	قسم	UC
علم	علم	UC
الإنسان	الإنسان	UC
وكانت	وكانت	UC
هذه	هذه	UC
المحاضرة	المحاضرة	UC
المفضلة	المفضلة	UC
هذا	هذا	UC
الفصل	الفصل	UC
كانت	كانت	UC
هذه	هذه	UC
المحاضرة	المحاضرة	UC
جزء	جزءا	REPLACE_XC
من	من	UC
دفاع	دفاع	UC
تاره	تارة	REPLACE_OT
د وب	دوب	MERGE
لرسالتها	لرسالتها	UC
للدكتوراة	للدكتوراه	REPLACE_XC
واناقشت	وناقشت	REPLACE_OD
ف ها	في	UNK
بحثها	بحثها	UC
ف	في	REPLACE_SW
سور تان	سوريا	UNK
أ		DELETE_XM
والمغرب	والمغرب	UC
والجزائر	والجزائر	UC
اكتشفت	اكتشفت	UC
أن	أن	UC
اللاجئ ن	اللاجئين	UNK
هناك	هناك	UC
اندبحوا	دمجوا	REPLACE_SW
اعتقاداتهم	اعتقاداتهم	UC
ألس إس ه	السياسية	UNK
مع	مع	UC
ممارساتهم	ممارساتهم	UC
الاجتماع ه	الاجتماعية	UNK
وخ ر	وخير	UNK
دل	دليل	REPLACE_SW
ل عيل	على	UNK
هذلك	ذلك	REPLACE_OD
استخدام	استخدام	UC
الشعر	الشعر	UC
ف	في	REPLACE_SW
الزفاف	الزفاف	UC
لاعتبار	لاعتبار	UC
وجه	وجهة	REPLACE_OM
نظر	نظر	UC
الشاعر	الشاعر	UC
عن	عن	UC
القوم ه	القومية	UNK
السحراو ه	الصحراوية	UNK
ب		DELETE_XM
أن	إن	REPLACE_OH
العشر	الشعر	REPLACE_OC
نظر	نظم	REPLACE_OR
المغرب	بالمغرب	REPLACE_XM
إلى	إلى	UC
حد	حد	UC
ما	ما	UC
لكن	لكن	UC
عتبر	يعتبر	REPLACE_OM
وجه	وجهة	REPLACE_OM
نظر	نظر	UC
المجموعة	المجموعة	UC
بالذات	بالذات	UC
لا بد	لابد	MERGE
من	من	UC
أن	أن	UC
ستج ب	ستجبر	REPLACE_S
الشاعر	الشاعر	UC
إلى	على	REPLACE_SW
ضغوط	ضغوط	UC
من	من	UC
المجتمع	المجتمع	UC
ف تأل ف	فتألف	MERGE
هذا	هذا	UC
الشعر	الشعر	UC
كانت	كانت	UC
هذه	هذه	UC
المحاضرة	المحاضرة	UC
مرتبطة	مرتبطة	UC
ببحث	ببحث	UC
فاستفدت	فاستفدت	UC
كث را	كثيرا	UNK
من	من	UC
حضورها	حضورها	UC
ف	في	REPLACE_SW
الفصل	الفصل	UC
الجاء	القادم	REPLACE_SW
سأخطط	سأخطط	UC
أن	أن	UC
أحضر	أحضر	UC
المز د	المزيد	UNK
من	من	UC
المحاضرات	المحاضرات	UC
ف	في	REPLACE_SW
أقسام	أقسام	UC
أخرى	أخرى	UC
على	على	UC
قدر	قدر	UC
الأماكن	الإمكان	REPLACE_OH
لا س	لأعرف	UNK
ما	ما	UC
ف	في	REPLACE_SW
قسم	قسم	UC
علم	علم	UC
الإنسان	الإنسان	UC

تمرين	تمرين	UC
21	21	UC
ظاھرة	ظاهرة	REPLACE_OR
تضضم	تضخم	REPLACE_OR
السكان	السكان	UC
اخترت	اخترت	UC
ھذه	هذه	REPLACE_OR
الظاھرة	الظاهرة	REPLACE_OR
لانھا	لأنها	REPLACE_OH
بالنسبة	بالنسبة	UC
لي	لي	UC
تضم	تضم	UC
بعض	بعضا	REPLACE_XC+REPLACE_XN
من	من	UC
الظواھر	الظواهر	REPLACE_OR
الأخرى	الأخرى	UC
لا	لا	UC
أعرف	أعرف	UC
ما	ما	UC
ھي	هي	REPLACE_OR
نشأئتھا	نشأتها	REPLACE_OD+REPLACE_OR
بالضبط	بالضبط	UC
ولكن	ولكن	UC
في	في	UC
حقيقة	حقيقة	UC
الآمر	الأمر	REPLACE_OH
أعتقد	أعتقد	UC
أن	أن	UC
كون	كون	UC
الإنسان	الإنسان	UC
يتصف	يتصف	UC
برغبة	بالرغبة	REPLACE_XF
في	في	UC
ازدياد	ازدياد	UC
عدد	عدد	UC
السكان	السكان	UC
ھذا	فهذا	REPLACE_SW
طبيعي	طبيعي	UC
ولكن	ولكن	UC
لا	لا	UC
يوجد	يوجد	UC
صنف	صنف	UC
آخر	آخر	UC
مع	مع	UC
نفس	نفس	UC
المشكلة	المشكلة	UC
فقط	فقط	UC
الناس	الناس	UC
وظاھرة	وظاهرة	REPLACE_OR
تضخم	تضخم	UC
السكان	السكان	UC
ليس	ليست	REPLACE_XG
ظاھرة	ظاهرة	REPLACE_OR
واحدة	واحدة	UC
فقط	فقط	UC
بل	بل	UC
تأثير	تؤثر	REPLACE_OD+REPLACE_OR
كثير	بكثير	REPLACE_XM
من	من	UC
الظواھر	الظواهر	REPLACE_OR
الأخرى	الأخرى	UC
أيض أ	أيضا	UNK
مثلا	مثلا	UC
الجوع	الجوع	UC
وانقراض	وانقراض	UC
الحيوانات	الحيوانات	UC
فضلا	فضلا	UC
أن	أن	UC
انتشار	انتشار	UC
الأمراض	الأمراض	UC
العالمية	العالمية	UC
منتجات	منتجات	UC
تضخم	تضخم	UC
السكان	السكان	UC
في	في	UC
رائي	رأيي	REPLACE_OH
يجب	يجب	UC
علينا	علينا	UC
أن	أن	UC
نقتصر	نقتصر	UC
على	على	UC
عدد	عدد	UC
أولادنا	أولادنا	UC
لنعالج	لنعالج	UC
المشكلة	المشكلة	UC
ولكن	ولكن	UC
لا	لا	UC
أظن	أظن	UC
أن	أن	UC
بقية	بقية	UC
الأشخاص	الأشخاص	UC
سيوافقون	سيوافقون	UC
معي	معي	UC
خصوصا	خصوصا	UC
وانھم	وأنهم	REPLACE_OH
يفكرون	يفكرون	UC
انھم	أنهم	REPLACE_OH
عندھم	عندهم	REPLACE_OR
حق	حق	UC
التلد	الإنجاب	REPLACE_SW

حالة	حالة	UC
للغة	اللغة	REPLACE_XT
العربية	العربية	UC
خاصة	خاصة	UC
في	في	UC
الوقت	الوقت	UC
الحاضر	الحاضر	UC
الفصحى	الفصحى	UC
لغة	لغة	UC
رسمية	رسمية	UC
ودنية	ودينية	REPLACE_OM
وتقيم	وتقوم	REPLACE_OR
مكانة	بمكانة	REPLACE_XM
سيادة	سيادية	REPLACE_OM
في	في	UC
عقل	عقل	UC
العرب	العرب	UC
على	إلا	REPLACE_SW
أنه	أنها	REPLACE_XG
لا	لا	UC
يلقى	تلبي	REPLACE_SW
حاجات	حاجات	UC
ھامة	هامة	REPLACE_OR
الناس	للناس	REPLACE_XM
بمرور	بمرور	UC
الزمن	الزمن	UC
تطور	تتطور	REPLACE_OM
اللغة	اللغة	UC
المكتوبة	المكتوبة	UC
بعيدا	بعيدا	UC
من	عن	REPLACE_SW
اللغة	اللغة	UC
متكلمة	المتكلمة	REPLACE_XF
فيتقدم	فيتقدم	UC
ھذا	هذا	REPLACE_OR
الفرق	الفرق	UC
الغوي	اللغوي	REPLACE_OM
مسألة	مسألة	UC
أھمة	مهمة	REPLACE_OR
اھتم	اهتم	REPLACE_OR
بھذا	بهذا	REPLACE_OR
الموضوع	الموضوع	UC
اللغويون	اللغويون	UC
والمفكرون	والمفكرون	UC
الفصحى	الفصحى	UC
تعبير	تعبير	UC
فصيح	فصيح	UC
لفكر	لفكر	UC
وثقافة	وثقافة	UC
ومن	ومن	UC
جھة	جهة	REPLACE_OR
أخرى	أخرى	UC
ھو	هي	REPLACE_SW
غير	غير	UC
عملي	عملية	REPLACE_XG
كلغة	كلغة	UC
يومية	يومية	UC
الفرق	الفرق	UC
بينھما	بينهما	REPLACE_OR
متواسع	واسع	REPLACE_OD
لذلك	لذلك	UC
رجال	رجال	UC
الفكر	الفكر	UC
والقلم	والقلم	UC
مثل	مثل	UC
ساطع	ساطع	UC
الحسرى	الحصري	REPLACE_OA+REPLACE_OR
تروق	تطوع	REPLACE_OR
لإسلاح	لإصلاح	REPLACE_OR
ھذا	هذا	REPLACE_OR
وضع	الوضع	REPLACE_XF
الذي	الذي	UC
يخافھم	يخافونه	REPLACE_OH+REPLACE_OM
مثلا	مثلا	UC
بعض	بعض	UC
الاقتراحات	الاقتراحات	UC
ھي	هي	REPLACE_OR
تعليم	تعليم	UC
الفصحى	الفصحى	UC
في	في	UC
مدراس	المدارس	REPLACE_SW
و الاختصر	واختصار	UNK
اللغات	اللغات	UC
الأجنبية	الأجنبية	UC
وقوق	وفوق	REPLACE_OR
ھذا	هذا	REPLACE_OR
تبسيط	التبسيط	REPLACE_XF
النوى	النحوي	REPLACE_OA+REPLACE_OM+REPLACE_OR
	الغير	INSERT_XM
معقد	معقد	UC
سيساعد	سيساعد	UC
	في	INSERT_XM
فھم	فهم	REPLACE_OR
تركيب	التراكيب	REPLACE_SW
من	من	UC
المھم	المهم	REPLACE_OR
أيضا	أيضا	UC
طريق	طريق	UC
إدخال	إدخال	UC
كلمات	كلمات	UC
جديدة	جديدة	UC
وتجديد	وتجديد	UC
المفرادات	المفردات	REPLACE_OD
لاستخدام	لاستخدامها	REPLACE_MI
في	في	UC
عالمنا	عالمنا	UC
متطور	المتطور	REPLACE_XF
أ		DELETE_XM

بدا	بدأ	REPLACE_OH
علي	علي	UC
يعمل	يعمل	UC
في	في	UC
حكومة	حكومة	UC
السودان	السودان	UC
خدم	خدم	UC
علي	علي	UC
في	في	UC
وزارة	الوزارة	REPLACE_XF
كثيرا	كثيرا	UC
حتى	حتى	UC
حصل	حصل	UC
بعد	بعد	UC
أعوام	أعوام	UC
كثير أ	كثيرة	UNK
رئيسو	رئيس	REPLACE_OD+REPLACE_OG
زير	وزارة	REPLACE_SW
الخارجية	الخارجية	UC
و رجع	ورجع	MERGE
علي	علي	UC
إلى	إلى	UC
لندن	لندن	UC
ج	وبدأ	REPLACE_SW
عل		DELETE_XM
علي	علي	UC
يبحث	يبحث	UC
عنھا	عنھا	UC
من	من	UC
ثم	ثم	UC
بعد	بعد	UC
سنتين	سنتين	UC
قابلا	تقابل	REPLACE_OM+REPLACE_XN
علي	علي	UC
و سوزان	وسوزان	MERGE
قال	قال	UC
سوزان	سوزان	UC
و قالت	وقالت	MERGE
علي	علي	UC
قال	قال	UC
أح بك	أحبك	MERGE
يا	يا	UC
سوزان	سوزان	UC
و ساتابعدك	وسأتبعك	UNK
إلى	إلى	UC
كل	كل	UC
الأماكن	الأماكن	UC
التي	التي	UC
ستذھبھا	ستذھبين إليها	REPLACE_X
وقالت	وقالت	UC
أسكن	أسكن	UC
في	في	UC
البيت	البيت	UC
العظيم	العظيم	UC
